countrycode,seriescode,Description
VNM,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
VNM,MS.MIL.XPND.CD,2012-2018 highly uncertain data.
VNM,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
VNM,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
VNM,IT.CEL.SETS,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,IT.NET.USER.ZS,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
VNM,BX.TRF.PWKR.CD.DT,"Data on Personal Transfers and Compensation of Employees are prepared by World Bank staff based on IMF's Balance of Payments statistics and data releases from central banks, national statistical agencies, and World Bank country desks."
VNM,MS.MIL.XPND.CN,2012-2018 highly uncertain data.
VNM,SP.POP.GROW,Data source: United Nations World Population Prospects
VNM,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
VNM,IT.NET.BBND.P2,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,SP.POP.TOTL,Data source: United Nations World Population Prospects
VNM,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
VNM,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
VNM,SM.POP.NETM,Data source: United Nations World Population Prospects
VNM,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
VNM,IS.RRS.PASG.KM,Source: Internation Union of Railways (UIC)
VNM,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
VNM,IT.NET.BBND,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,MS.MIL.XPND.ZS,2012-2018 highly uncertain data.
VNM,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
VNM,IT.CEL.SETS.P2,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,ST.INT.ARVL,Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Including nationals residing abroad.
VNM,IT.MLT.MAIN.P2,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
VNM,IS.RRS.GOOD.MT.K6,Source: Internation Union of Railways (UIC)
VNM,ST.INT.RCPT.CD,"Compiled from data reported by the country. The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
VNM,IT.MLT.MAIN,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt, long-term private nonguaranteed debt and short-term debt data for 2024 are based on reports provided by the country."
